ID,DS,Name,Domain,Instances,Labels,PredictiveAttributes ,AttributesTotal,AttStart,AttEnd,LabStart,LabEnd,Nominal,Numeric,Cardinality,Density,Diversity,Dimensionality,xn,yn,gridn,xt,yt,gridt
1,MU,nus-wide-full-BoW-l2,images,,81,501,582,1,501,502,582,,,,,,,,,,,,
2,MU,nus-wide-full-cVLADplus,images,269648,81,129,210,1,129,130,210,,,,,,,,,,,,
3,MU,rcv1-subset1,text,6000,101,47236,47337,1,47236,47237,47337,,,,,,,,,,,,
4,MU,rcv1-subset2,text,6000,101,47236,47337,1,47236,47237,47337,,,,,,,,,,,,
5,MU,rcv1-subset3,text,6000,101,47236,47337,1,47236,47237,47337,,,,,,,,,,,,
6,MU,rcv1-subset4,text,6000,101,47229,47330,1,47229,47230,47330,,,,,,,,,,,,
7,MU,rcv1-subset5,text,6000,101,47235,47336,1,47235,47236,47336,,,,,,,,,,,,
8,MU,recreation1,text,2828,22,30324,30346,1,30324,30325,30346,,,,,,,,,,,,
9,MU,reference1,text,8027,33,39679,39712,1,39679,39680,39712,,,,,,,,,,,,
10,MU,scene ,images,2407,6,294,300,1,294,295,300,,,,,,,,,,,,
11,MU,science,,6428,40,37187,37227,1,37187,37188,37227,,,,,,,,,,,,
12,MU,social1,text,3214,39,52350,37227,1,52350,52351,52389,,,,,,,,,,,,
13,MU,society1,text,14512,27,31802,31829,1,31802,31803,31829,,,,,,,,,,,,
14,ME,tmc2007-500,text,28596,22,,522,23,522,1,22,,,,,,,,,,,,
15,MU,tmc2007,text,28596,22,49060,49082,1,49060,49061,49082,,,,,,,,,,,,
16,MU,yeast,biology,2417,14,103,117,1,103,104,117,,,,,,,,,,,,
